=== VSI Log Started at 11/16/2025 11:18:12 PM ===
Zero Marker set to: 90°
Needle initialized to 90° (zero marker). Actual rotation: 90°
Frame 4200: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4260: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4320: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4380: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4440: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4500: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4560: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4620: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4680: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4740: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4800: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4860: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4920: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4980: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5040: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5100: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5160: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5220: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5280: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5340: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5400: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5460: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5520: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5580: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5640: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5700: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5760: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5820: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5880: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5940: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6000: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6060: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6120: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6180: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6240: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6300: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6360: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6420: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6480: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6540: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6600: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6660: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6720: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6780: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6840: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6900: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6960: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7020: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7080: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7140: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7200: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7260: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7320: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7380: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7440: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7500: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7560: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7620: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7680: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7740: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7800: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7860: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7920: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 7980: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8040: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8100: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8160: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8220: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8280: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8340: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8400: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8460: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8520: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8580: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8640: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8700: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8760: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8820: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8880: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 8940: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9000: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9060: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9120: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9180: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9240: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9300: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9360: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9420: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9480: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9540: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9600: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9660: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9720: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9780: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9840: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9900: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 9960: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10020: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10080: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10140: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
